iteration;COP;CWP;NPV;nWWcat;nWPr05;nWPr11;nWPr12;nWPr13;nWPr18;nWPr19;nWPr20;nWPr24;nWPr25;nWPr26;nWPr27;nWPr29;nWPr30;nWPr31;nWPr32;nWPr33;nWPr34;nWPr35;nWPr36;nWPr37;nWPr38;nWPr39;nWPr40;nWPr41;nWPr42;nWPr43;nWPr44;nWPr45;nWPr46;nWPr47;nWPr48;nWPr49;nWPr50;nWPr51;nWPr52;nWPr53;nWPr54;nWPr55;nWPr56;nWPr57;nWPr58;nWPr59;nWPr60;nWPr61;nWPr62;nWPr63;nWPr64;nWPr65;nWPr66;nWPr67;nWPr68;nWPr69;nWPr70;nWPr72;nWPr73;nWPr74;nWPr75;nWPr76;nWPr79;nWPr80;nWPr81;nWPr82;nWPr83;nWPr84;nWIn04;nWIn05;nWIn10;nWIn11;nWIn12;nWIn13;nWIn17;nWIn18;nWIn19;nWIn20;nWIn24;nWIn25;nWIn26;nWIn27;nWIn29;nWIn30;nWIn31;nWIn32;nWIn33;nWIn34;nWIn35;nWIn36;nWIn38;nWIn39;nWIn40;nWIn41;nWIn43;nWIn44;nWIn45;nWIn46;nWIn47;nWIn48;nWIn49;nWIn50;nWIn51;nWIn52;nWIn53;nWIn54;nWIn55;nWIn56;nWIn57;nWIn58;nWIn59;nWIn60;nWIn61;nWIn62;nWIn63;nWIn64;nWIn65;nWIn66;nWIn67;nWIn68;nWIn69;nWIn71;nWIn72;nWIn73;nWIn80;nWIn81;nWIn82;nWIn83;nWIn84;nWIn85
1;91180700.0;131800000.0;-749183984.35;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;1;0
1;87005300.0;134767000.0;-767164506.04;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;1
1;88514100.0;135626000.0;-569302518.01;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;0;0;0
1;84482400.0;135409000.0;-1008830996.73;0;0;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0
1;85662500.0;138756000.0;-199808720.58;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;0;1;1;1;0
2;89776600.0;134058000.0;201279555.29;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0
2;88211200.0;133718000.0;-745343891.11;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0
2;88513100.0;133605000.0;-80054027.52;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1
2;86939500.0;135766000.0;-311007430.38;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;0
2;81993400.0;138681000.0;-1026175102.91;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0
3;96871600.0;129041000.0;-155933709.85;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1
3;95063900.0;130747000.0;128682197.26;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1
3;89688400.0;135454000.0;309921904.45;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0
3;86641700.0;135860000.0;439797101.09;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1
3;84714200.0;138520000.0;-650130861.32;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0;1;0;1;1
4;94428800.0;131443000.0;88290462.02;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;1
4;91703600.0;132428000.0;168993155.15;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0
4;98048200.0;128971000.0;422257941.27;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1
4;92155400.0;133131000.0;715352947.08;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1
4;83555900.0;137965000.0;590775831.25;1;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0
5;86641500.0;138381000.0;511167523.38;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
5;93540100.0;132135000.0;709612439.61;1;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0
5;94838900.0;131114000.0;708519690.44;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;1;0;1
5;96412800.0;129709000.0;734387125.29;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;1
5;95075200.0;128118000.0;193334457.91;0;1;0;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;1;1;1;0;1;1
